Name,Unique ID,__url,Slug,Image,Description,Twitter,Website,Facebook,Summaries,Collection ID,Locale ID,Item ID,Summaries copy
David Kantor,482,https://www.actionablebooks.com/en-ca/authors/David-Kantor/,David-Kantor,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/11/david-kantor-180x220.jpg,"David Kantor is an American systems psychologist, organizational consultant, and clinical researcher. Kantor has been a professor at Harvard University, Harvard University Medical School, and Tufts University Medical School. He is the founder of three research and training institutes, the author of numerous books and articles, and the inventor of a series of psychometric instruments that provide insight into individual and group behaviors. His groundbreaking empirical research revealed a fundamental structure to all communication, known as Structural Dynamics, which provides the solution to the most common communication challenges experienced in any human system. In 2014, Kantor and his long-time collaborator Shani Harmon, launched The Kantor Institute to make consulting tools and products based on Structural Dynamics available to trained practitioners.",http://twitter.com/davidkantor/,http://www.kantorinstitute.com/,,Reading the Room,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779e3466118417dcf89a5,Reading the Room
Benjamin Hoff,756,https://www.actionablebooks.com/en-ca/authors/Benjamin-Hoff/,Benjamin-Hoff,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2010/12/Benjamin-Hoff-books-md-180x220.jpg,"Benjamin Hoff (born 1946) is an author based in the United States. Two of his books on Taoism, “The Tao of Pooh” and “The Te of Piglet,” were on bestseller lists. Hoff grew up in Sylvan, Oregon, where he acquired a fondness of the natural world that has been highly influential in his writing.",,http://www.just-pooh.com/tao.html,,The Tao of Pooh,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779ba4f036083b82d46af,The Tao of Pooh
Josh Waitzkin,588,https://www.actionablebooks.com/en-ca/authors/Josh-Waitzkin/,Josh-Waitzkin,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/03/josh-waitzkin-180x220.jpg,"Josh Waitzkin, an eight-time National Chess Champion in his youth, was the subject of the book and movie Searching for Bobby Fischer. At eighteen, he published his first book, Josh Waitzkin’s Attacking Chess. Since the age of twenty, he has developed and been spokesperson for Chessmaster, the largest computer chess program in the world. Now a martial arts champion, he holds a combined twenty-one National Championship titles in addition to several World Championship titles. When not traveling the country giving seminars and keynote presentations, he lives and trains in New York City.",,http://www.joshwaitzkin.com/,,The Art of Learning,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a1ac7eef1dc826b6965,The Art of Learning
Jonathan Haidt,736,https://www.actionablebooks.com/en-ca/authors/Jonathan-Haidt/,Jonathan-Haidt,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/04/jonathan-haidt-180x220.jpg,"Jonathan Haidt is the Thomas Cooley Professor of Ethical Leadership at New York University’s Stern School of Business. He received his Ph.D. in social psychology from the University of Pennsylvania in 1992 and then did post-doctoral research at the University of Chicago and in Orissa, India. He taught at the University of Virginia for 16 years, where he conducted the research reported in The Righteous Mind.",http://twitter.com/JonHaidt/,http://www.JonathanHaidt.com,,The Righteous Mind,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a18a60215c7bf60182f,The Righteous Mind
Jonah Lehrer,295,https://www.actionablebooks.com/en-ca/authors/Jonah-Lehrer/,Jonah-Lehrer,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2012/04/jonah_lehrer-180x220.jpg,"Jonah Lehrer is a Contributing Editor at Wired and the author of How We Decide and Proust Was a Neuroscientist. He graduated from Columbia University and studied at Oxford University as a Rhodes Scholar. He’s written for The New Yorker, Nature, Seed, The Washington Post and The Boston Globe. He’s also a Contributing Editor at Scientific American Mind and National Public Radio’s Radio Lab.",http://twitter.com/jonahlehrer/,http://www.jonahlehrer.com/,,"How We Decide,Imagine",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a175519c9dcd5b27f49,"How We Decide,Imagine"
John Pollack,519,https://www.actionablebooks.com/en-ca/authors/John-Pollack/,John-Pollack,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/06/john-pollack-180x166.jpg,"John Pollack, who won the 1995 O. Henry Pun-Off World Championships, was a Presidential Speechwriter for Bill Clinton. Earlier, he worked as a foreign correspondent in Spain, as a field assistant in Antarctica, and as a strolling violinist on Mackinac Island. His books include “The Pun Also Rises: How the Humble Pun Revolutionized Language, Changed History and Made Wordplay More than Some Antics,” “Cork Boat: A True Story of the Unlikeliest Boat Ever Built,” and “The World on a String: How to Become a Freelance Foreign Correspondent.” He lives in New York City.",http://twitter.com/jdpollack/,http://www.johndpollack.com/,,Shortcut,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a1511dff5449b6ddc49,Shortcut
Joe Sweeney,397,https://www.actionablebooks.com/en-ca/authors/Joe-Sweeney/,Joe-Sweeney,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/08/joe-sweeney-180x220.jpg,"Joe Sweeney is a former owner and now a strategic director at Corporate Financial Advisors, LLC, a middle-market investment banking firm which specializes in providing merger and acquisition advisory services, capital sourcing, exit planning, and general corporate advisory services.",http://twitter.com/NetworkingJoe/,http://www.joesweeney.com/,,Moving the Needle,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a12336cf3351ac3ee04,Moving the Needle
Don Norman,629,https://www.actionablebooks.com/en-ca/authors/Don-Norman/,Don-Norman,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/10/don_norman-180x220.jpg,"Don Norman is a leader in the application of human-centered design. Business Week has listed him as one of the world’ s 27 most influential designers. “All design,” says Norman, “whether of a product, a company, a service or an experience is ultimately aimed at satisfying human and societal needs.” This approach requires the application of knowledge of cognitive science, engineering, and business with the skills and knowledge of the design field, helping companies produce products and services that satisfy human and societal needs, both practical and emotional. Norman is Director of the recently established Design Lab at the University of California, San Diego where he is also professor emeritus of both psychology and cognitive science. He is cofounder of the Nielsen Norman Group, an executive consulting firm that helps companies produce human-centered products and services.",,http://www.jnd.org/,,The Design of Everyday Things,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779eab5b23a5b38f8f48d,The Design of Everyday Things
Jim Collins,112,https://www.actionablebooks.com/en-ca/authors/Jim-Collins/,Jim-Collins,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2010/10/Jim-Collins-lg-180x220.jpg,"Jim Collins is a student and teacher of enduring great companies — how they grow, how they attain superior performance, and how good companies can become great companies. Having invested over a decade of research into the topic, Jim has authored or co-authored four books, including the classic “Built To Last,” which has been a fixture on the “Business Week” bestseller list for more than six years, and has been translated into 29 languages. His work has been featured in “Fortune,” “The Wall Street Journal,” “Business Week,” “Harvard Business Review,” and “Fast Company.”",,http://www.jimcollins.com/,,"Built to Last,Good to Great,Great By Choice,How the Mighty Fall",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a11e1933dfafaa5fe13,"Built to Last,Great By Choice,Good to Great,How the Mighty Fall"
Jessica Bacal,391,https://www.actionablebooks.com/en-ca/authors/Jessica-Bacal/,Jessica-Bacal,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/07/jessica-bacal.jpeg,"Jessica Bacal is the director of the Wurtele Center for Work & Life at Smith College. She lives with her husband and two children in Northampton, MA.",http://twitter.com/JessicaBacal/,http://www.jessbacal.com/,,Mistakes I Made at Work,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a0ea3829026b243d498,Mistakes I Made at Work
Jay Carty,132,https://www.actionablebooks.com/en-ca/authors/Jay-Carty/,Jay Carty,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/02/jay-carty.jpg,"An ‚Äúunusual communicator‚Äù is a mild statement. Maybe a little ‚Äúnuts‚Äù would be more accurate. He‚Äôs certainly ‚Äúoff the wall.‚Äù Not a preacher, not a teacher‚Ä¶ more a story teller with a very important message. Fun, funny and provocative. Traditional, he is not. Challenging, he is. Where some ‚Äúdeep‚Äù preachers are too snoozy for the rank and file, and where some humorists don‚Äôt have much to say, Jay‚Äôs ‚Äústuff‚Äù is generally regarded as an unusual blending of humor and content. Youth won‚Äôt nod off, and neither will their parents. Jay Carty played basketball at Oregon State and coached there for two years. He was on John Wooden‚Äôs staff for three years at UCLA and coached Kareem Abdul Jabbar. Jay then played for the Los Angeles Lakers. Following basketball and a time in the business world, Jay directed a Christian conference center, was a church consultant with Churches Alive and in 1982 began Yes! Ministries, an organization dedicated to helping people say ‚Äúyes!‚Äù to God. Jay crosses denominations and relates to a changing contemporary society as well as a broad range of age groups. Jay has spoken in churches, colleges, schools and retreat centers across the country. Jay and Mary make their home in Santa Barbara. They have two grown children.",,http://www.jaycarty.com/,,"Coach Wooden One-on-One,Coach Wooden’s Pyramid of Success",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a09c7eef1dc826b5979,"Coach Wooden One-on-One,Coach Wooden’s Pyramid of Success"
Jason Mcdonald,221,https://www.actionablebooks.com/en-ca/authors/Jason-McDonald/,Jason-McDonald,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/08/jason_mcdonalds.jpg,"Jason McDonald is an expert on SEO, Social Media Marketing, and Google AdWords. He has been active on the Internet since 1994 and teaching SEO, AdWords, and Social Media since 2009 — online, in San Francisco, at Stanford University Continuing Studies, at workshops, and in corporate trainings. More than 1,300 people have taken his paid trainings; over 14,000 have taken his free webinars on Google / SEO. Jason loves figuring out how things work, and he loves teaching others! You can find out more about him at jasonmcdonald.org.",http://twitter.com/jasoneg3/,http://www.jasonmcdonald.org/,,Fifty SEO Ideas,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a077e1b1fa86a529070,Fifty SEO Ideas
Leonard Mlodinow,547,https://www.actionablebooks.com/en-ca/authors/Leonard-Mlodinow/,Leonard-Mlodinow,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/04/Leonard_Mlodinow.jpg,"Leonard Mlodinow was born in Chicago, Illinois, to immigrant Jewish parents who were holocaust survivors. He received his PhD in theoretical physics from the University of California at Berkeley, and is now at Caltech. His book The Drunkard’s Walk: How Randomness Rules our Lives was a New York Times Bestseller, Editor’s Choice, and Notable Book of the Year, and was short-listed for the Royal Society book award. His other books include two co-authored with physicist Stephen Hawking — A Briefer History of Time, and The Grand Design. In addition to his books and research articles, he has written for the Wall Street Journal, the New York Times, and Forbes magazine, among other publications, and for television series such as McGyver and Star Trek: the Next Generation.",,http://www.its.caltech.edu/~len/,,Subliminal,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a247a0986861774784e,Subliminal
Ted Matthews,104,https://www.actionablebooks.com/en-ca/authors/Ted-Matthews/,Ted Matthews,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2012/11/tm_001.jpg,"Ted Matthews may have persuaded adidas to bring back The Three Stripes and convinced Energizer not to kill the bunny, but as Canada‚Äôs original and foremost Brand coach, he continually pushes his clients to understand that Brand is not the logo, the website or the advertising. A Brand is what people think of you‚Ñ¢.As an entrepreneur, Ted built Promanad Communications into an 80-person firm that, over a span of 30 years, served an extensive list of blue chip clients. When it became clear that most professionals operate as if a Brand really is merely the logo, he sold Promanad and founded Instinct Brand Equity Coaches. Drawing on his own experience as a CEO, Ted teaches his clients to embed, throughout the organizational culture, instinctive behaviors that help their Brands earn a spot in the minds and hearts of increasingly discerning stakeholders.Ted‚Äôs dogged pursuit of the Instinct Mission ‚Äì to challenge and support business leaders to maximize the potential within their Brands ‚Äì has spurred some of the most successful Brand evolutions in North America. He has been an integral force behind the Brand-building efforts of organizations like adidas, Manulife, Oxford Properties, Strata Health, AtlasCare, Quadrangle, IAMGOLD, PICKSEED, Investment Planning Counsel, Steam Whistle Breweries and ornge.Ted challenges his clients to maximize the potential within their Brands by embracing the lessons of his book ‚Äì Brand: It Ain‚Äôt the Logo* ‚Äì a Globe & Mail 2011 bestseller.For his pearls of wisdom and famously entertaining style, Ted is a sought- after speaker for business schools, corporations and professional associations. Helping lay the groundwork for future Branding excellence and building from his 18 year involvement with the Young Presidents Organization(YPO), he also makes time to coach young entrepreneurs.While Ted Brands himself a master woodworker, his wife Marsha is more likely to call it, ‚Äúmaking sawdust‚Äù. The two live between the island cottage he built in Muskoka and the desert home they designed together near Phoenix.",,http://www.instinctbrandequity.com/contact/tmbio.html,,Brand: It Ain’t the Logo (It’s What People Think of You),65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a5b148bd60c93d7d923,Brand: It Ain’t the Logo (It’s What People Think of You)
Gavin Presman,401,https://www.actionablebooks.com/en-ca/authors/Gavin-Presman/,Gavin-Presman,https://d3mkywnuoki91n.cloudfront.net/actionablebooks-com-wp-content/uploads/2018/04/03121508/gavin-presman-180x220.jpeg,"A law graduate, with a passion for sales, Gavin’s career has focused on working with some of the UK’s leading media operators, including Capital Radio and Emap, and ending his sales career as Client Services Director for Emap. Gavin has trained most of the leading National and Regional Press players, as well as much of the Radio and Online community. As a Master Practitioner of NLP, Certified Trainer of NLP and Insights Accredited Discovery Practitioner, Gavin’s training style is informal, yet focused on results. Gavin built Apex Training into a leading training company in the UK and was nominated for the National Training Awards. Gavin’s biggest weakness as a presenter is that he can sometimes go on a bit about his kids, who have recently begun to dominate his anecdotes.",https://twitter.com/GavinPresman/,http://www.inspire-ing.co.uk/,,Negotiation,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779f62772244af7c184d6,Negotiation
Lewis Schiff,115,https://www.actionablebooks.com/en-ca/authors/Lewis-Schiff/,Lewis-Schiff,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/09/lewis-schiff.jpg,"Lewis Schiff is the executive director of Inc. Business Owners Council, a membership organization for Inc. Magazine’s top entrepreneurs and owners of closely-held family businesses and maintains a blog about behavioral entrepreneurship on Inc.com.",http://twitter.com/lewisschiff/,http://www.inc.com/iboc,,Business Brilliant,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a248e2267d87246c150,Business Brilliant
Bo Burlingham,224,https://www.actionablebooks.com/en-ca/authors/Bo-Burlingham/,Bo-Burlingham,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2011/12/2009-bo-burlingham-bkt_765.jpg,Courtesy Inc.com:,http://twitter.com/BoBurlingham/,http://www.inc.com/author/Bo-Burlingham,,"Finish Big,Small Giants,The Knack",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779bff8540e935862823b,"The Knack,Small Giants,Finish Big"
David Weinberger,796,https://www.actionablebooks.com/en-ca/authors/David-Weinberger/,David-Weinberger,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/10/david_weinberger.jpeg,"The Wall Street Journal called him a “marketing guru.” He’s the co-author of the The Cluetrain Manifesto, the bestseller that cut through the hype and told business what the Web was really about. His next book, Small Pieces Loosely Joined has been published to rave reviews hailing it as the first book to put the Internet in its deepest context. His previous book, Everything Is Miscellaneous: The Power of the New Digital Disorder, which has been called “an instant classic”, explains how the new rules for organizing ideas and information are transforming business and culture. He’s been a frequent commentator on National Public Radio’s All Things Considered. He’s written for the “Fortune 500” of business and tech journals, including The New York Times, Harvard Business Review, The Miami Herald, The Boston Globe, USA Today, The Guardian, and Wired. Journalists from The New York Times, Newsweek, The Boston Globe, The Los Angeles Times, InformationWeek, The Economist, Foreign Policy, the Wall Street Journal and many more turn to him for insight. He is a columnist for Knowledge Management World and has been a columnist for il sole 24 ore,. He writes a well-known weblog, Joho the Blog. He was a philosophy professor for six years, a gag writer for Woody Allen’s comic strip for seven years, a humor columnist, a dot-com entrepreneur before most people knew what a home page was, and a strategic marketing consultant to household-name multinationals and the most innovative startups. He has a Ph.D. in philosophy and is a Senior Researcher at the prestigious Harvard Berkman Center for Internet & Society and is Co-Director of the Harvard Library Innovation Lab, and was a Franklin Fellow at the United States State Department (2010-12).",http://twitter.com/dweinberger/,http://www.hyperorg.com/,,Too Big to Know,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779e743336637211b6e91,Too Big to Know
Dov Seidman,277,https://www.actionablebooks.com/en-ca/authors/Dov-Seidman/,Dov-Seidman,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2012/11/dov_seidman.jpg,"Named one of the “Top 60 Global Thinkers of the Last Decade” by The Economic Times and “the hottest advisor on the corporate virtue circuit” by Fortune Magazine, CEO, author and thought leader Dov Seidman has built a career, and pioneered an industry, around the idea that the most principled businesses are the most profitable and sustainable.",http://twitter.com/DovSeidman/,http://www.howistheanswer.com/,,HOW,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779ed4f036083b82d69ba,HOW
Eric Schmidt,279,https://www.actionablebooks.com/en-ca/authors/Eric-Schmidt/,Eric-Schmidt,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/03/eric-schmidt-180x220.jpeg,Eric served as Google’s CEO from 2001 to 2011. During that time he shepherded the company’s growth from a Silicon Valley start-up to a global technology leader that today has over $55 billion in annual revenues and offices in more than 40 countries. Eric is now Google’s executive chairman.,http://twitter.com/ericschmidt/,http://www.howgoogleworks.net/,,How Google Works,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779f24538df72c01c205c,How Google Works
Howard Behar,320,https://www.actionablebooks.com/en-ca/authors/Howard-Behar/,Howard Behar,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2010/10/howard-behar.jpg,"Howard Behar is the former president of Starbucks Coffee Company North America and Starbucks Coffee International. He joined Starbucks in 1989 when the company had just begun to venture outside the Northwest region. Initially serving as vice president of sales and operations, he grew the retail business from 28 stores to more than 400 stores by the time he was named president of Starbucks Coffee International in 1995. Under Behar‚Äôs leadership, Starbucks opened its first location in Tokyo in 1996. Following this historic opening, over the next three years he introduced the Starbucks brand across Asia and the United Kingdom. After a two-year hiatus, he returned to Starbucks as President of Starbucks North America until his retirement in January 2003. He was a director of the Company from 1996 to 2008.",,http://www.howardbehar.com/,,It’s Not About the Coffee,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779fe192430f52a0910b7,It’s Not About the Coffee
Heidi Grant Halvorson,407,https://www.actionablebooks.com/en-ca/authors/Heidi-Grant-Halvorson/,Heidi-Grant-Halvorson,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/10/heidi-grant-halvorson.jpg,"Heidi Grant Halvorson is a social psychologist, and Associate Director of Columbia’s Motivation Science Center. Her research has focused on understanding why some people give up when their goals give them trouble, while others can rise to the challenge. She is the author of SUCCEED, NINE THINGS SUCCESSFUL PEOPLE DO DIFFERENTLY, FOCUS, and THE EIGHT MOTIVATIONAL CHALLENGES. Through her books, articles, and her blogs (99u, Harvard Business Review, Psychology Today, Fast Company), she hopes to help people understand that ANYONE can reach their goals, and give them the scientifically-tested strategies they need to succeed.",http://twitter.com/hghalvorson‎/,http://www.heidigranthalvorson.com,,"No One Understands You and What to Do About It,Succeed: How We Can Reach Our Goals",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779fd8898971b3f7d38c0,"Succeed: How We Can Reach Our Goals,No One Understands You and What to Do About It"
Harvey Mackay,555,https://www.actionablebooks.com/en-ca/authors/Harvey-Mackay/,Harvey-Mackay,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/01/harvey-mckay1.jpg,"Harvey Mackay is the author of the #1 New York Times bestsellers Swim with the Sharks Without Being Eaten Alive and Beware the Naked Man Who Offers You His Shirt, both books are among the top 15 inspirational business books of all time, according to the New York Times. His books have sold more than ten million copies worldwide. His newest book Use Your Head To Get Your Foot In The Door: Job Search Secrets No One Else Will Tell You, was released on February 18, 2010. When Larry King interviewed Harvey in late February 2010, Larry said, “I really believe this is the most important book right now.” The book is already in its 4th printing as of March 1, 2010. It immediately climbed the bestseller list at Amazon.com and hit #1 in four categories: Job Hunting, Counseling, Vocational Guidance and Education. It can also be found on the Wall Street Journal Business Bestseller list.",http://twitter.com/HarveyMackay/,http://www.harveymackay.com/‎,,"Swim with the Sharks Without Being Eaten Alive,The Mackay MBA of Selling in the Real World",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779fdece107615fe2cb9a,"The Mackay MBA of Selling in the Real World,Swim with the Sharks Without Being Eaten Alive"
G. Richard Shell,71,https://www.actionablebooks.com/en-ca/authors/G.-Richard-Shell/,G.-Richard-Shell,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/05/g-richard-shell.jpg,"G. Richard Shell is the Thomas Gerrity Professor of Legal Studies, Business Ethics, and Management at the Wharton School of Business. His latest book, Springboard: Launching Your Personal Search for Success (Penguin/Portfolio 2013), was named Best Business Book of the Year for 2013 by one of the largest business booksellers in the United States, 800CEOREAD. His earlier works include the award-winning Bargaining for Advantage: Negotiation Strategies for Reasonable People (2006) and The Art of Woo: Using Strategic Persuasion to Sell Your Ideas (2007)(with Mario Moussa). He is Director of the Wharton Executive Negotiation Workshop and the Wharton Strategic Persuasion Workshop. He has taught thousands of students and executives, including everyone from Navy SEALs and Fortune 500 CEOs to FBI hostage negotiators, hospital nurses, and public school teachers.",,http://www.grichardshell.com/,,Bargaining for Advantage,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779f5d1c6852472146450,Bargaining for Advantage
Brian Grazer,36,https://www.actionablebooks.com/en-ca/authors/Brian-Grazer/,Brian-Grazer,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/08/brian-grazer-180x220.jpg,"Academy Award®-winning producer and NYT bestselling author Brian Grazer has been making movies and television programs for more than 25 years. Grazer’s films and TV shows have been nominated for a total of 43 Oscars® and 152 Emmys. His films have generated over $13.5 billion in worldwide grosses. Grazer has been personally nominated for four Academy Awards®, and in 2002 he won the Best Picture Oscar® for A Beautiful Mind.Other film credits include Get On Up, Rush, J. Edgar, Frost/Nixon, American Gangster, The Da Vinci Code, 8 Mile, Apollo 13, Dr. Seuss’ How the Grinch Stole Christmas, Liar Liar, Backdraft, Parenthood, and Splash.",http://twitter.com/BrianGrazer/,http://www.grazeriscurious.com/,,A Curious Mind,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779c3bddc0b719a0b6a85,A Curious Mind
Stuart Diamond,248,https://www.actionablebooks.com/en-ca/authors/Stuart-Diamond/,Stuart-Diamond,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/11/stuart-diamond.jpg,"Stuart Diamond has taught and advised on negotiation and cultural diversity to corporate and government leaders in more than 40 countries, including in Eastern Europe, former Soviet Republics, China, Latin America, the Middle East, Canada, South Africa and the United States. He holds an M.B.A. with honors from Wharton Business School, ranked #1 globally by The Financial Times where he is currently a professor from practice. For more than 90% of the semesters over the past 15 years his negotiation course has been the most popular in the school based on the course auction, and he has won multiple teaching awards. He has taught negotiation at Harvard Law School, from which he holds a law degree and is a former Associate Director of the Harvard Negotiation Project. He has directed a negotiation consulting firm in Cambridge, MA.",http://twitter.com/Stuart_Diamond/,http://www.gettingmore.com/,,Getting More,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a57806eaeecba7c4d86,Getting More
Jamie Notter,298,https://www.actionablebooks.com/en-ca/authors/Jamie-Notter/,Jamie-Notter,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2012/09/jamie_notter.jpeg,"Jamie Notter started his career in the field of international conflict resolution. He spent six years designing and delivering training programs in areas of ethnic conflict (if you get a chance, ask him about the awesome people on the island of Cyprus). Jamie then moved into working with organizations, initially as a diversity trainer and consultant, and later commanding his private management consulting practice, working extensively with trade associations and professional societies. In 2008 Jamie merged his company with MSP (an association management company) to create the consulting division. Jamie carries a master’s degree in conflict resolution from George Mason University, and a Certificate in Organization Development from Georgetown. An avid writer, he has authored dozens of published articles to go along with a 2007 e-book Generational Diversity in the Workplace and in 2006 published We Have Always Done It That Way: 101 Things About Associations We Must Change. Jamie is a Vice President at Management Solutions Plus, where he leads the consulting division.",http://twitter.com/jamienotter/,http://www.getmejamienotter.com,,Humanize,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a0478a8c67649939451,Humanize
Troy Lewis,241,https://www.actionablebooks.com/en-ca/authors/Troy-Lewis/,Troy-Lewis,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/07/troy-lewis-180x220.png,"Troy Lewis was born and raised in the tiny town of Saluda, Virginia (where the population has doubled to 769 since his departure in 1974). He currently resides in New Jersey and enjoys writing. Gas Money is his first foray into the literary world.",http://twitter.com/GasMoneyBooks/,http://www.gasmoneybook.com/,,Gas Money,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a60eb2a66fcb6f03c7a,Gas Money
James C. Galvin,304,https://www.actionablebooks.com/en-ca/authors/James-C.-Galvin/,James C. Galvin,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/06/james-galvin-180x220.jpg,"Jim Galvin is an organizational consultant specializing in strategic facilitation for a wide variety of organizations. For the past decade he has provided consulting and training in the areas of strategy formation, board governance, organizational change, and leadership development.",,http://www.galvinandassociates.com,,I’ve Got Your Back,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a0311fc1cf0a0007a18,I’ve Got Your Back
Gail Sheehy,404,https://www.actionablebooks.com/en-ca/authors/Gail-Sheehy/,Gail-Sheehy,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/04/gail_sheehy.jpg,A momentous event in my seventh year started me on a lifelong passion: my grandmother gave me a typewriter. I began to write to understand what I was living.,http://twitter.com/Gail_Sheehy/,http://www.gailsheehy.com/,,New Passages,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779f5db07360e27f5aad1,New Passages
Jonah Sachs,844,https://www.actionablebooks.com/en-ca/authors/Jonah-Sachs/,Jonah-Sachs,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2012/12/jonah_sachs.jpg,"Jonah is an internationally recognized storyteller, author, designer and entrepreneur. As the co-founder and creative director of Free Range Studios, Jonah has helped hundreds of social brands and causes break through the media din with breakthrough campaigns. His work on legendary viral videos like The Meatrix and The Story of Stuff series have brought key social issues to the attention of more than 60 million people. Sample his work now: Check out the compelling book trailer for “Winning the Story Wars” on Jonah’s author page.",http://twitter.com/jonahsachs/,http://www.freerange.com,,Winning the Story Wars,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a18ab79046a980b3adc,Winning the Story Wars
