Name,Unique ID,__url,Slug,Image,Description,Twitter,Website,Facebook,Summaries,Collection ID,Locale ID,Item ID,Summaries copy
Phil Jones,206,https://www.actionablebooks.com/en-ca/authors/Phil-Jones/,Phil-Jones,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/11/phil-jones-180x220.jpg,"Phil M. Jones has made it his life’s work to demystify the sales process, reframe what it means to “sell” and help his audiences to learn new skills that empower confidence, overcome fears and instantaneously impact bottom line results. Author of five international best-selling books, and the youngest ever winner of coveted “British Excellence in Sales and Marketing Award”, Phil is currently one of the most in-demand assets to companies worldwide.",https://twitter.com/philmjonesuk/,https://www.philmjones.com,,Exactly What To Say,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a40e64200c193005875,Exactly What To Say
Ron Warren,443,https://www.actionablebooks.com/en-ca/authors/Ron-Warren/,Ron-Warren,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/08/ron-warren.png,"Ronald A. Warren, Ph.D., developed the LMAP 360 assessment used by top education institutions, corporations, and healthcare systems worldwide. Ron has worked in clinical and organizational psychology and has been published in American Journal of Psychiatry, Adolescence, and Measures of Leadership.",,https://www.lmapinc.com/personality-at-work,,Personality at Work,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a4ad1c6852472148cc6,Personality at Work
Glenn A. Williams,816,https://www.actionablebooks.com/en-ca/authors/Glenn-A.-Williams/,Glenn-A.-Williams,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/02/GlennWilliams-1-180x220.jpg,"Glenn.A.Williams is known for expertly helping executives and boards successfully navigate change because his unique understanding of business and biology has allowed him to unlock the secrets of AdaptAbility. Glenn provides leadership coaching and management consulting. He also serves as the Chairman of several boards. Glenn is the author of a variety of books, essays and a blog that integrate personal and professional development. Glenn is based in Melbourne, Australia and works with clients globally.",http://twitter.com/glennawilliams/,https://www.glennawilliams.com,,Visioning,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779f848ca369e0e99e4a3,Visioning
Bob Whitman,464,https://www.actionablebooks.com/en-ca/authors/Bob-Whitman/,Bob-Whitman,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/04/bob-whitman-180x220.jpg,"Robert A. Whitman is Chairman of the Board of Directors and Chief Executive Officer of FranklinCovey (NYSE: FC). Prior to accepting the role of Chairman and CEO, Mr. Whitman served as an outside director on FranklinCovey’s board.",,https://www.franklincovey.com/About/executive-team/RobertWhitman.html,,Predictable Results in Unpredictable Times,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779bfebe0093552d524ec,Predictable Results in Unpredictable Times
Craig Wilson,615,https://www.actionablebooks.com/en-ca/authors/Craig-Wilson/,Craig-Wilson,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2018/01/craig-wilson-180x220.jpg,"Founder of Compass and Nail, Craig is a leading authority on loyalty, brand development, and direct marketing and counts some of the world’s most iconic brands in his listing of experience including Kiehl’s, Patagonia, Seventh Generation, prAna Living, Burton Snowboards, and Revolution Living, among others. He’s a three-time NCAA National Champion coach and a passionate observer of human behavior.",https://twitter.com/CompassandNail/,https://www.compassandnail.com,,The Compass and the Nail,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779d3b7fac8a7f4cf8afc,The Compass and the Nail
Shawn Askinosie,382,https://www.actionablebooks.com/en-ca/authors/Shawn-Askinosie/,Shawn-Askinosie,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2018/01/shawn-askinosie-180x220.jpg,"In 2005, Shawn Askinosie left a successful career as a criminal defense lawyer to start a bean to bar chocolate factory and never looked back.",,https://www.askinosie.com/book.html,,Meaningful Work,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a4f22ad1490218f8503,Meaningful Work
Stacy Hanke,308,https://www.actionablebooks.com/en-ca/authors/Stacy-Hanke/,Stacy-Hanke,https://www.actionablebooks.com/wp-content/themes/actionablebooks/img/author-large.png,"Stacey Hanke, Inc. exists to equip leaders within organizations to communicate with confidence, presence and authenticity, day in and day out. Combined, our team of mentors and consultants has more than 100 years of training experience. We’ve worked with executives, managers, technicians and sales leaders across the United States and on four different continents. Our individual backgrounds are as diverse as news and entertainment, sales and marketing, recruitment, diversity and inclusion, organizational development and investor relations.",http://twitter.com/StaceyHankeInc/,https://staceyhankeinc.com/,,Influence Redefined,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a5118cded8270bc6c40,Influence Redefined
Dave Ulrich,814,https://www.actionablebooks.com/en-ca/authors/Dave-Ulrich/,Dave-Ulrich,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/09/faab4972-b34d-4d84-9a5e-70ab16f7f32a-180x220.jpg,"Dave Ulrich is a Professor of Business at the University of Michigan and a co-founder of The RBL Group, a consulting firm that helps organizations and leaders deliver value. He has published many books and over 100 articles.",http://twitter.com/dave_ulrich/,https://rbl.net/,,Victory Through Organization,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779e0aae19304122c3f57,Victory Through Organization
Molly Fletcher,215,https://www.actionablebooks.com/en-ca/authors/Molly-Fletcher/,Molly-Fletcher,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/11/molly-fletcher-180x220.jpg,"Molly Fletcher is a trailblazer in every sense of the word– a rare talent of business wisdom, relationship brilliance and unwavering optimism. As a CEO, she shares her unconventional and unique techniques that made her one of the first female sports agents in the high stakes, big ego world of professional sports and now a successful entrepreneur.",https://twitter.com/MollyFletcher/,https://mollyfletcher.com/,,Fearless At Work,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a348628c884483645d5,Fearless At Work
Mark Manson,753,https://www.actionablebooks.com/en-ca/authors/Mark-Manson/,Mark-Manson,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/01/mark-manson-180x218.jpg,"Mark Manson is a blogger, author and entrepreneur. He specializes in writing personal development advice that doesn’t suck. His website MarkManson.net is read by over 2 million people each month. He lives in New York City.",http://twitter.com/iammarkmanson/,https://markmanson.net/,,The Subtle Art of Not Giving a F*ck,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a2af8540e935862b9f9,The Subtle Art of Not Giving a F*ck
Frank Bien,845,https://www.actionablebooks.com/en-ca/authors/Frank-Bien/,Frank-Bien,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/01/frank-bien-180x220.jpeg,"With over 20 years growing and leading technology companies, Frank Bien built his career on nurturing strong corporate culture and highly efficient teams.. Prior to Looker, Frank was SVP of Strategy for storage vendor Virsto (acquired by VMware) and VP of Strategic Alliances at big-data pioneer Greenplum, leading their acquisition by EMC (now Pivotal). He led Product Marketing and Strategy at early scale-out data warehousing company Sensage and was VP of Solution Sales at Vignette/OpenText. Earlier in his career he held executive roles at Dell and the Federal Reserve.",http://twitter.com/frankbien/,https://looker.com/,,Winning with Data,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779f4e29cdc69d415b0b7,Winning with Data
Lisen Stromberg,851,https://www.actionablebooks.com/en-ca/authors/Lisen-Stromberg/,Lisen-Stromberg,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/09/lisen-stromberg-180x220.jpg,"After a successful career in marketing and advertising, Lisen Stromberg, left the business world frustrated by the lack of support for mothers in the workplace. She pivoted to become an award-winning journalist whose work can be found in the New York Times, Fortune, Newsweek, Salon, and other high profile media outlets.",http://twitter.com/LisenStromberg/,https://lisenstromberg.com/,,Work PAUSE Thrive,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a26a60215c7bf601d07,Work PAUSE Thrive
Dale Partridge,439,https://www.actionablebooks.com/en-ca/authors/Dale-Partridge/,Dale-Partridge,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/05/dale-partridge-180x220.jpg,"Dale Partridge is a National Bestselling Author and Founder of StartupCamp.com. Described as “a mind who feels the trends before market,” Partridge teaches leaders and organizations how to position their brand, love their people, and develop profitable corporate social responsibility programs.",http://twitter.com/dalepartridge/,https://launch.startupcamp.com/,,People Over Profit,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779d4386bba0adc88aa13,People Over Profit
James B. Rousseau Sr.,549,https://www.actionablebooks.com/en-ca/authors/James-B.-Rousseau-Sr./,James-B.-Rousseau-Sr.,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/10/james-rousseau-180x220.jpg,"James currently serves as President of LegalShield Business Solutions with oversight for the affinity, broker, employee benefits, national accounts and small business divisions, along with company partnerships.Prior to joining LegalShield, James served as the President of Allstate Affinity Solutions where he launched innovative partnerships with Bass Pro Shops, United Airlines, Intercontinental Hotels Group, Office Depot and the Fuel Rewards Network, differentiating Allstate in the insurance industry.Prior to Allstate, James served as a Senior Vice President at JPMorgan Chase Card Services where he was responsible for Affinity & Co-brand partner relationships.His responsibilities included profitable growth, marketing, partnership rationalization and the oversight of a number of partnerships that included: AARP, AAA, La Quinta Hotels, New York Life, Notre Dame, Subaru, and the Military branches of service.During this time he was able to drive significant profit increases through increased consumer acquisitions and retention, product improvements, increased wallet share and improved underwriting.",,https://jamesrosseausr.com,,Success on Your Own Terms,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a02cc5c48c59d149243,Success on Your Own Terms
Harry M. Kraemer,78,https://www.actionablebooks.com/en-ca/authors/Harry-M.-Kraemer/,Harry-M.-Kraemer,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/07/harry-kraemer-180x220.jpg,"Harry Kraemer, Jr. is professor of management and strategy at Northwestern University’s Kellogg School of Management, where he teaches in the MBA and the Executive MBA programs. Additionally, he is an executive partner with Madison Dearborn Partners (MDP), one of the largest private equity firms in the United States where he consults with CEOs and other senior executives of companies in MDP’s extensive portfolio. Harry is the former chairman and chief executive officer of Baxter International Inc., a multi-billion-dollar global healthcare company. He was voted by the students at Kellogg as the Professor of the Year in 2008 and was a finalist for the award in 2014.",http://twitter.com/harrykraemerjr/,https://harrykraemer.org/,,Becoming the Best,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779fc23efe50392cedc76,Becoming the Best
Ari Meisel,349,https://www.actionablebooks.com/en-ca/authors/Ari-Meisel/,Ari-Meisel,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/08/Ari-Meisel.jpg,"In 2006, Ari was diagnosed with Crohn’s disease. Crohn’s is an incurable disease of the digestive tract. Ari’s case was severe, and required over a dozen daily medications and several hospital visits. After reaching a personal low point in hospital, Ari decided he would do everything in his power to strengthen his by then weak body. Through a combination of yoga, nutrition, natural supplements and rigorous exercise (Triathon and Crossfit) he was able to fight back the symptoms of Crohns until he was finally able to suspend his medication. Eventually Ari was declared free of all traces of the ‘incurable’ disease, and competed in Ironman France in June of 2011. Ari has since spoken at seminars and at a regional TED Talk about his struggle against a seemingly insurmountable opponent. Through the process of data collection, self tracking, and analysis, Ari helped develop Less Doing. This was a way of dealing with the daily stresses of life by optimizing, automating, and outsourcing all of his tasks in life and business.",http://twitter.com/arimeisel/,https://getleverage.com/,,"""Less Doing, More Living""",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779b3d99cd61e7fc20200,"""Less Doing, More Living"""
Mandy Holloway,878,https://www.actionablebooks.com/en-ca/authors/mandy-holloway/,mandy-holloway,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/08/mandy-holloway-180x220.jpg,"Mandy‚Äôs empathy based style and her ability to intimately understand the on-going pressure faced by business leaders is grounded through her personal leadership experiences as a partner of KPMG and now the challenging experiences with our diverse client base. Combining her strong business background with her learning expertise means she designs, develops and delivers initiatives that achieve sustainable results. Mandy‚Äôs passion, dedication and courage touch everyone who participates in all the initiatives she facilitates.",,https://courageousleaders.com.au/,,Inspiring Courageous Leaders,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a2753c6c7714956e94f,Inspiring Courageous Leaders
Ayelet Baron,424,https://www.actionablebooks.com/en-ca/authors/Ayelet-Baron/,Ayelet-Baron,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2017/01/ayelet-baron-180x220.jpg,"Ayelet Baron is a visionary author, speaker, coach, workshop facilitator, and former tech executive committed to making a transformational impact on business.",,https://ayeletbaron.com/,,Our Journey to Corporate Sanity,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779b5bbdfd4153391098f,Our Journey to Corporate Sanity
Ali B. Zagat,251,https://www.actionablebooks.com/en-ca/authors/Ali-B.-Zagat/,Ali-B.-Zagat,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2016/07/ali-b-zagat-180x220.jpg,"Ali B. Zagat is a seasoned writer, editor, and content strategist. She has more than 10 years of experience creating digital and social media content and campaigns for mainstream and niche brands alike, including Creed, Dwell, Rodale’s, Birchbox, Anthropologie, and many others. Ali’s extensive experience telling the stories of independent and established brands has given her valuable insights into how to help entrepreneurs, freelancers, and professionals who want to successfully reach a wider audience. She lives in Philadelphia, Pennsylvania.",http://twitter.com/alibzagat/,https://alibzagat.contently.com/,,Getting to Like,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779aa6b36d24a0a1862b6,Getting to Like
Peter Thiel,871,https://www.actionablebooks.com/en-ca/authors/Peter-Thiel/,Peter-Thiel,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2015/08/peter-theil-180x220.jpg,"Peter Thiel is an entrepreneur and investor. He started PayPal in 1998, led it as CEO, and took it public in 2002, defining a new era of fast and secure online commerce. In 2004 he made the first outside investment in Facebook, where he serves as a director. The same year he launched Palantir Technologies, a software company that harnesses computers to empower human analysts in fields like national security and global finance. He has provided early funding for LinkedIn, Yelp, and dozens of successful technology startups, many run by former colleagues who have been dubbed the “PayPal Mafia.” He is a partner at Founders Fund, a Silicon Valley venture capital firm that has funded companies like SpaceX and Airbnb. He started the Thiel Fellowship, which ignited a national debate by encouraging young people to put learning before schooling, and he leads the Thiel Foundation, which works to advance technological progress and long-term thinking about the future.",http://twitter.com/peterthiel/,http://ZeroToOneBook.com,,Zero to One,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a3ff780a90bc645ec55,Zero to One
Leo Babauta,236,https://www.actionablebooks.com/en-ca/authors/Leo-Babauta/,Leo-Babauta,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2010/10/Leo-Babauta-180x220.jpg,"Leo Babauta is the author of “The Power of Less” and the creator and blogger at “Zen Habits,” a Top 25 blog (according to “TIME” magazine) with 200,000 subscribers — one of the top productivity and simplicity blogs on the Internet.",http://twitter.com/zen_habits/,http://zenhabits.net/,,"Focus,The Power of Less,Zen to Done",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a23dea862ebf351113e,"The Power of Less,Focus,Zen to Done"
Youngme Moon,174,https://www.actionablebooks.com/en-ca/authors/Youngme-Moon/,Youngme-Moon,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/06/shapeimage_4.png,Youngme Moon is the Donald K. David Professor of Business Administration at the Harvard Business School. Her research focuses on marketing innovation and brand differentiation.,,http://youngmemoon.com/,,Different,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a67b7fac8a7f4cfc9a8,Different
Hal Elrod,685,https://www.actionablebooks.com/en-ca/authors/Hal-Elrod/,Hal-Elrod,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2012/12/hal.jpg,"Hal Elrod has been known as “Yo Pal Hal” since hosting his first radio show at age 15. He became a national record-breaking sales rep for a 200 million dollar marketing company at 19, but his real triumph came at age 20 when he was hit head on by a drunk driver and found dead at the scene…",http://twitter.com/HalElrod/,http://yopalhal.com/,,"The Miracle Morning for Salespeople,The Miracle Morning",65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779fbf780a90bc645cc19,"The Miracle Morning,The Miracle Morning for Salespeople"
Andy Paul,872,https://www.actionablebooks.com/en-ca/authors/Andy-Paul/,Andy-Paul,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2014/02/Andy-Paul.jpg,"A veteran of multiple technology start-ups, Andy knows first-hand how to rapidly establish a market presence and sales momentum for new products. He has extensive sales experience with nearly every type of customer situation and sales channel that exists both in the US and abroad, having been responsible for the sales of hundreds of millions of dollars worth of products and services in nearly every corner ofthe globe.",http://twitter.com/ZeroTimeSelling/,http://www.zerotimeselling.com/,,Zero-Time Selling,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d779afa60215c7bf5fed5d,Zero-Time Selling
Zachary D. Kaufman,532,https://www.actionablebooks.com/en-ca/authors/Zachary-D.-Kaufman/,Zachary-D.-Kaufman,https://s3-eu-west-1.amazonaws.com/actionable-co-public-sites/actionablebooks-com-wp-content/uploads/2013/01/kaufman.jpg,"Dr. Zachary D. Kaufman, Esq., is an attorney, political scientist, professor, writer, speaker, and social entrepreneur.",http://twitter.com/zacharykaufman/,http://www.zacharykaufman.com,,Social Entrepreneurship in the Age of Atrocities,65d7521383b866b5f9ec0375,65d339a75013d9bea848c5ee,65d77a65ba308546c5a7cc87,Social Entrepreneurship in the Age of Atrocities
